Date,Price
12/2/2022,76866.11
12/3/2022,76429.016
12/4/2022,75588.1
12/5/2022,75282.5
12/6/2022,75243.35
12/7/2022,75521.28
12/8/2022,76125.3
12/9/2022,77021.266
12/10/2022,77974.67
12/11/2022,78983.945
12/12/2022,79977.84
12/13/2022,80907.414
12/14/2022,81775.984
12/15/2022,82596.555
12/16/2022,83192.19
12/17/2022,83661.45
12/18/2022,84116.56
12/19/2022,84603.51
12/20/2022,85167.85
12/21/2022,85933.195
12/22/2022,86873.086
12/23/2022,87930.19
12/24/2022,88939.766
12/25/2022,89843.164
12/26/2022,90485.84
12/27/2022,90972.39
12/28/2022,91443.016
12/29/2022,91995.59
12/30/2022,92709.24
